Noun,MW,Count_Pre,P(n),P(w),P(n|w),"P(n,w)",log_term,MI_contribution
会议,次,3,0.0017474879860200961,0.03014416775884666,0.043478260869565216,0.001310615989515072,4.636937162799566,0.006077243987941764
会面,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
传统,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
传说,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
伯爵,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
体系,个个,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
余额,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
佛像,尊,2,0.001310615989515072,0.001310615989515072,0.6666666666666666,0.0008737439930100481,8.990492924441588,0.007855389186930177
佛像,座,1,0.001310615989515072,0.014416775884665793,0.030303030303030304,0.00043687199650502403,4.531137822344327,0.001979527226886993
佛殿,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
作品,件,1,0.001310615989515072,0.0034949759720401923,0.125,0.00043687199650502403,6.5755080814488345,0.0028726553435774725
作品,部,2,0.001310615989515072,0.013543031891655745,0.06451612903225806,0.0008737439930100481,5.621334973596706,0.004911607665877419
作法,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
作物,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
作用,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
例子,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
便门,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
保障,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
信,封,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
信仰,种,2,0.0008737439930100481,0.0563564875491481,0.015503875968992248,0.0008737439930100481,4.149271727394883,0.0036254012471777044
信徒,位,1,0.00043687199650502403,0.01616426387068589,0.02702702702702703,0.00043687199650502403,5.95102828249083,0.002599837607029633
俱乐部,个,3,0.0017474879860200961,0.23896898208824816,0.005484460694698354,0.001310615989515072,1.6500669900852203,0.0021626041809766974
俱乐部,家,1,0.0017474879860200961,0.007863695937090432,0.05555555555555555,0.00043687199650502403,4.990566577730315,0.002180238784504288
俸禄,份,1,0.00043687199650502403,0.0017474879860200961,0.25,0.00043687199650502403,9.160313114390162,0.004001884278894785
偏激,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
做法,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
儿子,个,3,0.0017474879860200961,0.23896898208824816,0.005484460694698354,0.001310615989515072,1.6500669900852203,0.0021626041809766974
儿子,名,1,0.0017474879860200961,0.024464831804281346,0.017857142857142856,0.00043687199650502403,3.353143781167492,0.0014648946182470475
儿童,名,1,0.00043687199650502403,0.024464831804281346,0.017857142857142856,0.00043687199650502403,5.353133657524508,0.0023386341885209736
元件,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
元素,个,2,0.001310615989515072,0.23896898208824816,0.003656307129798903,0.0008737439930100481,1.4801419285228388,0.0012932651188491383
元素,种,1,0.001310615989515072,0.0563564875491481,0.007751937984496124,0.00043687199650502403,2.564310368407481,0.0011202753903047098
光纤,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
公司,个,3,0.004805591961555264,0.23896898208824816,0.005484460694698354,0.001310615989515072,0.1906355912967182,0.00024985005412413917
公司,家,4,0.004805591961555264,0.007863695937090432,0.2222222222222222,0.0017474879860200961,5.531141392346944,0.009665603132104753
公司,批,1,0.004805591961555264,0.00436871996505024,0.1,0.00043687199650502403,4.37913549243392,0.0019131216655456182
公司,间,3,0.004805591961555264,0.00655307994757536,0.2,0.001310615989515072,5.379137562885042,0.007049983699718272
公园,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
公国,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
公寓,个,1,0.0008737439930100481,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,1.0651043640426823,0.00046531427000554053
